Country,Year,Value,Indicator
New Caledonia,2016,100.0,Access to electricity
Northern Mariana Islands,2016,100.0,Access to electricity
Palau,2016,100.0,Access to electricity
Papua New Guinea,2016,49.4,Access to electricity
Samoa,2016,99.62,Access to electricity
Solomon Islands,2016,58.33,Access to electricity
Tonga,2016,97.02,Access to electricity
Tuvalu,2016,97.3,Access to electricity
Vanuatu,2016,57.82,Access to electricity
Fiji,2017,96.0,Access to electricity
French Polynesia,2017,100.0,Access to electricity
Guam,2017,100.0,Access to electricity
Kiribati,2017,86.18,Access to electricity
Marshall Islands,2017,94.3,Access to electricity
Micronesia (Federated States of),2017,77.94,Access to electricity
Nauru,2017,99.87,Access to electricity
New Caledonia,2017,100.0,Access to electricity
Northern Mariana Islands,2017,100.0,Access to electricity
Palau,2017,100.0,Access to electricity
Papua New Guinea,2017,54.4,Access to electricity
Samoa,2017,96.8,Access to electricity
Solomon Islands,2017,62.9,Access to electricity
Tonga,2017,98.36,Access to electricity
Tuvalu,2017,98.85,Access to electricity
Vanuatu,2017,62.8,Access to electricity
Fiji,2018,99.37,Access to electricity
French Polynesia,2018,100.0,Access to electricity
Guam,2018,100.0,Access to electricity
Kiribati,2018,88.1,Access to electricity
Marshall Islands,2018,95.92,Access to electricity
Micronesia (Federated States of),2018,79.7,Access to electricity
Nauru,2018,99.93,Access to electricity
New Caledonia,2018,100.0,Access to electricity
Northern Mariana Islands,2018,100.0,Access to electricity
Palau,2018,100.0,Access to electricity
Papua New Guinea,2018,55.73,Access to electricity
Samoa,2018,99.99,Access to electricity
Solomon Islands,2018,66.18,Access to electricity
Tonga,2018,99.13,Access to electricity
Tuvalu,2018,99.07,Access to electricity
Vanuatu,2018,61.75,Access to electricity
Fiji,2019,99.72,Access to electricity
French Polynesia,2019,100.0,Access to electricity
Guam,2019,100.0,Access to electricity
Kiribati,2019,90.03,Access to electricity
Marshall Islands,2019,97.54,Access to electricity
Micronesia (Federated States of),2019,81.28,Access to electricity
Nauru,2019,100.0,Access to electricity
New Caledonia,2019,100.0,Access to electricity
Northern Mariana Islands,2019,100.0,Access to electricity
Palau,2019,100.0,Access to electricity
Papua New Guinea,2019,59.66,Access to electricity
Samoa,2019,99.2,Access to electricity
Solomon Islands,2019,69.81,Access to electricity
Tonga,2019,98.4,Access to electricity
Tuvalu,2019,99.7,Access to electricity
Vanuatu,2019,64.59,Access to electricity
Fiji,2020,100.0,Access to electricity
French Polynesia,2020,100.0,Access to electricity
Guam,2020,100.0,Access to electricity
Kiribati,2020,91.96,Access to electricity
Marshall Islands,2020,99.16,Access to electricity
Micronesia (Federated States of),2020,82.93,Access to electricity
Nauru,2020,100.0,Access to electricity
New Caledonia,2020,100.0,Access to electricity
Northern Mariana Islands,2020,100.0,Access to electricity
Palau,2020,100.0,Access to electricity
Papua New Guinea,2020,60.4,Access to electricity
Samoa,2020,100.0,Access to electricity
Solomon Islands,2020,73.35,Access to electricity
Tonga,2020,100.0,Access to electricity
Tuvalu,2020,99.69,Access to electricity
Vanuatu,2020,67.33,Access to electricity
American Samoa,Trend,-0.39,Accessibility trend
Cook Islands,Trend,-0.28,Accessibility trend
Fiji,Trend,-0.31,Accessibility trend
Guam,Trend,-0.35,Accessibility trend
Kiribati,Trend,-0.23,Accessibility trend
Marshall Islands,Trend,-0.47,Accessibility trend
Micronesia (Federated States of),Trend,-0.44,Accessibility trend
Nauru,Trend,-0.2,Accessibility trend
New Caledonia,Trend,-0.15,Accessibility trend
Northern Mariana Islands,Trend,0.03,Accessibility trend
Palau,Trend,-0.31,Accessibility trend
Papua New Guinea,Trend,-0.01,Accessibility trend
Samoa,Trend,-0.4,Accessibility trend
Solomon Islands,Trend,-0.73,Accessibility trend
Tonga,Trend,-0.3,Accessibility trend
Tuvalu,Trend,0.01,Accessibility trend
Vanuatu,Trend,-0.01,Accessibility trend
Wallis and Futuna,Trend,-0.26,Accessibility trend
Niue,Trend,-0.33,Accessibility trend
French Polynesia,Trend,-0.15,Accessibility trend
Tokelau,Trend,0.64,Accessibility trend
American Samoa,Variability,2.0,Accessibility trend
Cook Islands,Variability,1.0,Accessibility trend
Fiji,Variability,2.0,Accessibility trend
Guam,Variability,2.0,Accessibility trend
Kiribati,Variability,2.0,Accessibility trend
Marshall Islands,Variability,3.0,Accessibility trend
Micronesia (Federated States of),Variability,2.0,Accessibility trend
Nauru,Variability,4.0,Accessibility trend
New Caledonia,Variability,1.0,Accessibility trend
Northern Mariana Islands,Variability,1.0,Accessibility trend
Palau,Variability,2.0,Accessibility trend
Papua New Guinea,Variability,1.0,Accessibility trend
Samoa,Variability,2.0,Accessibility trend
Solomon Islands,Variability,4.0,Accessibility trend
Tonga,Variability,2.0,Accessibility trend
Tuvalu,Variability,2.0,Accessibility trend
Vanuatu,Variability,1.0,Accessibility trend
Wallis and Futuna,Variability,2.0,Accessibility trend
Niue,Variability,3.0,Accessibility trend
French Polynesia,Variability,1.0,Accessibility trend
Tokelau,Variability,2.0,Accessibility trend
Cook Islands,Trend,-6.16,Availability trend
Fiji,Trend,-1.49,Availability trend
French Polynesia,Trend,-3.75,Availability trend
Kiribati,Trend,0.01,Availability trend
Nauru,Trend,0.55,Availability trend
New Caledonia,Trend,-2.97,Availability trend
Niue,Trend,1.66,Availability trend
Papua New Guinea,Trend,-0.21,Availability trend
Samoa,Trend,-0.6,Availability trend
Solomon Islands,Trend,-1.21,Availability trend
Tokelau,Trend,1.49,Availability trend
Tonga,Trend,-1.83,Availability trend
Tuvalu,Trend,-0.75,Availability trend
Vanuatu,Trend,-2.34,Availability trend
Marshall Islands,Trend,-1.18,Availability trend
Micronesia (Federated States of),Trend,1.57,Availability trend
Cook Islands,Variability,115.0,Availability trend
Fiji,Variability,29.0,Availability trend
French Polynesia,Variability,73.0,Availability trend
Kiribati,Variability,11.0,Availability trend
Nauru,Variability,11.0,Availability trend
New Caledonia,Variability,57.0,Availability trend
Niue,Variability,29.0,Availability trend
Papua New Guinea,Variability,4.0,Availability trend
Samoa,Variability,15.0,Availability trend
Solomon Islands,Variability,23.0,Availability trend
Tokelau,Variability,27.0,Availability trend
Tonga,Variability,36.0,Availability trend
Tuvalu,Variability,21.0,Availability trend
Vanuatu,Variability,41.0,Availability trend
Marshall Islands,Variability,31.0,Availability trend
Micronesia (Federated States of),Variability,21.0,Availability trend
American Samoa,2001,,Average dietary energy adequacy
Cook Islands,2001,,Average dietary energy adequacy
Fiji,2001,123.0,Average dietary energy adequacy
French Polynesia,2001,118.0,Average dietary energy adequacy
Kiribati,2001,130.0,Average dietary energy adequacy
Marshall Islands,2001,,Average dietary energy adequacy
Micronesia (Federated States of),2001,,Average dietary energy adequacy
Nauru,2001,,Average dietary energy adequacy
New Caledonia,2001,118.0,Average dietary energy adequacy
Niue,2001,,Average dietary energy adequacy
Palau,2001,,Average dietary energy adequacy
Papua New Guinea,2001,99.0,Average dietary energy adequacy
Samoa,2001,125.0,Average dietary energy adequacy
Solomon Islands,2001,110.0,Average dietary energy adequacy
Tokelau,2001,,Average dietary energy adequacy
Tonga,2001,,Average dietary energy adequacy
Tuvalu,2001,,Average dietary energy adequacy
Vanuatu,2001,126.0,Average dietary energy adequacy
American Samoa,2002,,Average dietary energy adequacy
Cook Islands,2002,,Average dietary energy adequacy
Fiji,2002,124.0,Average dietary energy adequacy
French Polynesia,2002,119.0,Average dietary energy adequacy
Kiribati,2002,130.0,Average dietary energy adequacy
Marshall Islands,2002,,Average dietary energy adequacy
Micronesia (Federated States of),2002,,Average dietary energy adequacy
Nauru,2002,,Average dietary energy adequacy
New Caledonia,2002,118.0,Average dietary energy adequacy
Niue,2002,,Average dietary energy adequacy
Palau,2002,,Average dietary energy adequacy
Papua New Guinea,2002,98.0,Average dietary energy adequacy
Samoa,2002,126.0,Average dietary energy adequacy
Solomon Islands,2002,111.0,Average dietary energy adequacy
Tokelau,2002,,Average dietary energy adequacy
Tonga,2002,,Average dietary energy adequacy
Tuvalu,2002,,Average dietary energy adequacy
Vanuatu,2002,126.0,Average dietary energy adequacy
American Samoa,2003,,Average dietary energy adequacy
Cook Islands,2003,,Average dietary energy adequacy
Fiji,2003,123.0,Average dietary energy adequacy
French Polynesia,2003,119.0,Average dietary energy adequacy
Kiribati,2003,129.0,Average dietary energy adequacy
Marshall Islands,2003,,Average dietary energy adequacy
Micronesia (Federated States of),2003,,Average dietary energy adequacy
Nauru,2003,,Average dietary energy adequacy
New Caledonia,2003,117.0,Average dietary energy adequacy
Niue,2003,,Average dietary energy adequacy
Palau,2003,,Average dietary energy adequacy
Papua New Guinea,2003,97.0,Average dietary energy adequacy
Samoa,2003,127.0,Average dietary energy adequacy
Solomon Islands,2003,112.0,Average dietary energy adequacy
Tokelau,2003,,Average dietary energy adequacy
Tonga,2003,,Average dietary energy adequacy
Tuvalu,2003,,Average dietary energy adequacy
Vanuatu,2003,127.0,Average dietary energy adequacy
American Samoa,2004,,Average dietary energy adequacy
Cook Islands,2004,,Average dietary energy adequacy
Fiji,2004,124.0,Average dietary energy adequacy
French Polynesia,2004,120.0,Average dietary energy adequacy
Kiribati,2004,129.0,Average dietary energy adequacy
Marshall Islands,2004,,Average dietary energy adequacy
Micronesia (Federated States of),2004,,Average dietary energy adequacy
Nauru,2004,,Average dietary energy adequacy
New Caledonia,2004,117.0,Average dietary energy adequacy
Niue,2004,,Average dietary energy adequacy
Palau,2004,,Average dietary energy adequacy
Papua New Guinea,2004,97.0,Average dietary energy adequacy
Samoa,2004,127.0,Average dietary energy adequacy
Solomon Islands,2004,113.0,Average dietary energy adequacy
Tokelau,2004,,Average dietary energy adequacy
Tonga,2004,,Average dietary energy adequacy
Tuvalu,2004,,Average dietary energy adequacy
Vanuatu,2004,128.0,Average dietary energy adequacy
American Samoa,2005,,Average dietary energy adequacy
Cook Islands,2005,,Average dietary energy adequacy
Fiji,2005,124.0,Average dietary energy adequacy
French Polynesia,2005,120.0,Average dietary energy adequacy
Kiribati,2005,128.0,Average dietary energy adequacy
Marshall Islands,2005,,Average dietary energy adequacy
Micronesia (Federated States of),2005,,Average dietary energy adequacy
Nauru,2005,,Average dietary energy adequacy
New Caledonia,2005,117.0,Average dietary energy adequacy
Niue,2005,,Average dietary energy adequacy
Palau,2005,,Average dietary energy adequacy
Papua New Guinea,2005,98.0,Average dietary energy adequacy
Samoa,2005,128.0,Average dietary energy adequacy
Solomon Islands,2005,113.0,Average dietary energy adequacy
Tokelau,2005,,Average dietary energy adequacy
Tonga,2005,,Average dietary energy adequacy
Tuvalu,2005,,Average dietary energy adequacy
Vanuatu,2005,128.0,Average dietary energy adequacy
American Samoa,2006,,Average dietary energy adequacy
Cook Islands,2006,,Average dietary energy adequacy
Fiji,2006,124.0,Average dietary energy adequacy
French Polynesia,2006,120.0,Average dietary energy adequacy
Kiribati,2006,128.0,Average dietary energy adequacy
Marshall Islands,2006,,Average dietary energy adequacy
Micronesia (Federated States of),2006,,Average dietary energy adequacy
Nauru,2006,,Average dietary energy adequacy
New Caledonia,2006,117.0,Average dietary energy adequacy
Niue,2006,,Average dietary energy adequacy
Palau,2006,,Average dietary energy adequacy
Papua New Guinea,2006,98.0,Average dietary energy adequacy
Samoa,2006,127.0,Average dietary energy adequacy
Solomon Islands,2006,114.0,Average dietary energy adequacy
Tokelau,2006,,Average dietary energy adequacy
Tonga,2006,,Average dietary energy adequacy
Tuvalu,2006,,Average dietary energy adequacy
Vanuatu,2006,130.0,Average dietary energy adequacy
American Samoa,2007,,Average dietary energy adequacy
Cook Islands,2007,,Average dietary energy adequacy
Fiji,2007,124.0,Average dietary energy adequacy
French Polynesia,2007,120.0,Average dietary energy adequacy
Kiribati,2007,127.0,Average dietary energy adequacy
Marshall Islands,2007,,Average dietary energy adequacy
Micronesia (Federated States of),2007,,Average dietary energy adequacy
Nauru,2007,,Average dietary energy adequacy
New Caledonia,2007,117.0,Average dietary energy adequacy
Niue,2007,,Average dietary energy adequacy
Palau,2007,,Average dietary energy adequacy
Papua New Guinea,2007,98.0,Average dietary energy adequacy
Samoa,2007,127.0,Average dietary energy adequacy
Solomon Islands,2007,115.0,Average dietary energy adequacy
Tokelau,2007,,Average dietary energy adequacy
Tonga,2007,,Average dietary energy adequacy
Tuvalu,2007,,Average dietary energy adequacy
Vanuatu,2007,131.0,Average dietary energy adequacy
American Samoa,2008,,Average dietary energy adequacy
Cook Islands,2008,,Average dietary energy adequacy
Fiji,2008,123.0,Average dietary energy adequacy
French Polynesia,2008,120.0,Average dietary energy adequacy
Kiribati,2008,126.0,Average dietary energy adequacy
Marshall Islands,2008,,Average dietary energy adequacy
Micronesia (Federated States of),2008,,Average dietary energy adequacy
Nauru,2008,,Average dietary energy adequacy
New Caledonia,2008,117.0,Average dietary energy adequacy
Niue,2008,,Average dietary energy adequacy
Palau,2008,,Average dietary energy adequacy
Papua New Guinea,2008,98.0,Average dietary energy adequacy
Samoa,2008,127.0,Average dietary energy adequacy
Solomon Islands,2008,114.0,Average dietary energy adequacy
Tokelau,2008,,Average dietary energy adequacy
Tonga,2008,,Average dietary energy adequacy
Tuvalu,2008,,Average dietary energy adequacy
Vanuatu,2008,132.0,Average dietary energy adequacy
American Samoa,2009,,Average dietary energy adequacy
Cook Islands,2009,,Average dietary energy adequacy
Fiji,2009,121.0,Average dietary energy adequacy
French Polynesia,2009,121.0,Average dietary energy adequacy
Kiribati,2009,129.0,Average dietary energy adequacy
Marshall Islands,2009,,Average dietary energy adequacy
Micronesia (Federated States of),2009,,Average dietary energy adequacy
Nauru,2009,,Average dietary energy adequacy
New Caledonia,2009,119.0,Average dietary energy adequacy
Niue,2009,,Average dietary energy adequacy
Palau,2009,,Average dietary energy adequacy
Papua New Guinea,2009,98.0,Average dietary energy adequacy
Samoa,2009,128.0,Average dietary energy adequacy
Solomon Islands,2009,115.0,Average dietary energy adequacy
Tokelau,2009,,Average dietary energy adequacy
Tonga,2009,,Average dietary energy adequacy
Tuvalu,2009,,Average dietary energy adequacy
Vanuatu,2009,132.0,Average dietary energy adequacy
American Samoa,2010,,Average dietary energy adequacy
Cook Islands,2010,,Average dietary energy adequacy
Fiji,2010,119.0,Average dietary energy adequacy
French Polynesia,2010,121.0,Average dietary energy adequacy
Kiribati,2010,134.0,Average dietary energy adequacy
Marshall Islands,2010,,Average dietary energy adequacy
Micronesia (Federated States of),2010,,Average dietary energy adequacy
Nauru,2010,,Average dietary energy adequacy
New Caledonia,2010,121.0,Average dietary energy adequacy
Niue,2010,,Average dietary energy adequacy
Palau,2010,,Average dietary energy adequacy
Papua New Guinea,2010,99.0,Average dietary energy adequacy
Samoa,2010,127.0,Average dietary energy adequacy
Solomon Islands,2010,115.0,Average dietary energy adequacy
Tokelau,2010,,Average dietary energy adequacy
Tonga,2010,,Average dietary energy adequacy
Tuvalu,2010,,Average dietary energy adequacy
Vanuatu,2010,132.0,Average dietary energy adequacy
American Samoa,2011,,Average dietary energy adequacy
Cook Islands,2011,,Average dietary energy adequacy
Fiji,2011,116.0,Average dietary energy adequacy
French Polynesia,2011,121.0,Average dietary energy adequacy
Kiribati,2011,138.0,Average dietary energy adequacy
Marshall Islands,2011,,Average dietary energy adequacy
Micronesia (Federated States of),2011,,Average dietary energy adequacy
Nauru,2011,,Average dietary energy adequacy
New Caledonia,2011,123.0,Average dietary energy adequacy
Niue,2011,,Average dietary energy adequacy
Palau,2011,,Average dietary energy adequacy
Papua New Guinea,2011,100.0,Average dietary energy adequacy
Samoa,2011,129.0,Average dietary energy adequacy
Solomon Islands,2011,114.0,Average dietary energy adequacy
Tokelau,2011,,Average dietary energy adequacy
Tonga,2011,,Average dietary energy adequacy
Tuvalu,2011,,Average dietary energy adequacy
Vanuatu,2011,131.0,Average dietary energy adequacy
American Samoa,2012,,Average dietary energy adequacy
Cook Islands,2012,,Average dietary energy adequacy
Fiji,2012,116.0,Average dietary energy adequacy
French Polynesia,2012,121.0,Average dietary energy adequacy
Kiribati,2012,139.0,Average dietary energy adequacy
Marshall Islands,2012,,Average dietary energy adequacy
Micronesia (Federated States of),2012,,Average dietary energy adequacy
Nauru,2012,,Average dietary energy adequacy
New Caledonia,2012,123.0,Average dietary energy adequacy
Niue,2012,,Average dietary energy adequacy
Palau,2012,,Average dietary energy adequacy
Papua New Guinea,2012,101.0,Average dietary energy adequacy
Samoa,2012,130.0,Average dietary energy adequacy
Solomon Islands,2012,112.0,Average dietary energy adequacy
Tokelau,2012,,Average dietary energy adequacy
Tonga,2012,,Average dietary energy adequacy
Tuvalu,2012,,Average dietary energy adequacy
Vanuatu,2012,130.0,Average dietary energy adequacy
American Samoa,2013,,Average dietary energy adequacy
Cook Islands,2013,,Average dietary energy adequacy
Fiji,2013,116.0,Average dietary energy adequacy
French Polynesia,2013,121.0,Average dietary energy adequacy
Kiribati,2013,139.0,Average dietary energy adequacy
Marshall Islands,2013,,Average dietary energy adequacy
Micronesia (Federated States of),2013,,Average dietary energy adequacy
Nauru,2013,,Average dietary energy adequacy
New Caledonia,2013,124.0,Average dietary energy adequacy
Niue,2013,,Average dietary energy adequacy
Palau,2013,,Average dietary energy adequacy
Papua New Guinea,2013,101.0,Average dietary energy adequacy
Samoa,2013,131.0,Average dietary energy adequacy
Solomon Islands,2013,111.0,Average dietary energy adequacy
Tokelau,2013,,Average dietary energy adequacy
Tonga,2013,,Average dietary energy adequacy
Tuvalu,2013,,Average dietary energy adequacy
Vanuatu,2013,128.0,Average dietary energy adequacy
American Samoa,2014,,Average dietary energy adequacy
Cook Islands,2014,,Average dietary energy adequacy
Fiji,2014,117.0,Average dietary energy adequacy
French Polynesia,2014,122.0,Average dietary energy adequacy
Kiribati,2014,140.0,Average dietary energy adequacy
Marshall Islands,2014,,Average dietary energy adequacy
Micronesia (Federated States of),2014,,Average dietary energy adequacy
Nauru,2014,,Average dietary energy adequacy
New Caledonia,2014,124.0,Average dietary energy adequacy
Niue,2014,,Average dietary energy adequacy
Palau,2014,,Average dietary energy adequacy
Papua New Guinea,2014,101.0,Average dietary energy adequacy
Samoa,2014,131.0,Average dietary energy adequacy
Solomon Islands,2014,110.0,Average dietary energy adequacy
Tokelau,2014,,Average dietary energy adequacy
Tonga,2014,,Average dietary energy adequacy
Tuvalu,2014,,Average dietary energy adequacy
Vanuatu,2014,127.0,Average dietary energy adequacy
American Samoa,2015,,Average dietary energy adequacy
Cook Islands,2015,,Average dietary energy adequacy
Fiji,2015,117.0,Average dietary energy adequacy
French Polynesia,2015,122.0,Average dietary energy adequacy
Kiribati,2015,141.0,Average dietary energy adequacy
Marshall Islands,2015,,Average dietary energy adequacy
Micronesia (Federated States of),2015,,Average dietary energy adequacy
Nauru,2015,,Average dietary energy adequacy
New Caledonia,2015,124.0,Average dietary energy adequacy
Niue,2015,,Average dietary energy adequacy
Palau,2015,,Average dietary energy adequacy
Papua New Guinea,2015,101.0,Average dietary energy adequacy
Samoa,2015,130.0,Average dietary energy adequacy
Solomon Islands,2015,110.0,Average dietary energy adequacy
Tokelau,2015,,Average dietary energy adequacy
Tonga,2015,,Average dietary energy adequacy
Tuvalu,2015,,Average dietary energy adequacy
Vanuatu,2015,124.0,Average dietary energy adequacy
American Samoa,2016,,Average dietary energy adequacy
Cook Islands,2016,,Average dietary energy adequacy
Fiji,2016,117.0,Average dietary energy adequacy
French Polynesia,2016,121.0,Average dietary energy adequacy
Kiribati,2016,141.0,Average dietary energy adequacy
Marshall Islands,2016,,Average dietary energy adequacy
Micronesia (Federated States of),2016,,Average dietary energy adequacy
Nauru,2016,,Average dietary energy adequacy
New Caledonia,2016,124.0,Average dietary energy adequacy
Niue,2016,,Average dietary energy adequacy
Palau,2016,,Average dietary energy adequacy
Papua New Guinea,2016,101.0,Average dietary energy adequacy
Samoa,2016,130.0,Average dietary energy adequacy
Solomon Islands,2016,111.0,Average dietary energy adequacy
Tokelau,2016,,Average dietary energy adequacy
Tonga,2016,,Average dietary energy adequacy
Tuvalu,2016,,Average dietary energy adequacy
Vanuatu,2016,123.0,Average dietary energy adequacy
American Samoa,2017,,Average dietary energy adequacy
Cook Islands,2017,,Average dietary energy adequacy
Fiji,2017,117.0,Average dietary energy adequacy
French Polynesia,2017,120.0,Average dietary energy adequacy
Kiribati,2017,141.0,Average dietary energy adequacy
Marshall Islands,2017,,Average dietary energy adequacy
Micronesia (Federated States of),2017,,Average dietary energy adequacy
Nauru,2017,,Average dietary energy adequacy
New Caledonia,2017,123.0,Average dietary energy adequacy
Niue,2017,,Average dietary energy adequacy
Palau,2017,,Average dietary energy adequacy
Papua New Guinea,2017,101.0,Average dietary energy adequacy
Samoa,2017,130.0,Average dietary energy adequacy
Solomon Islands,2017,111.0,Average dietary energy adequacy
Tokelau,2017,,Average dietary energy adequacy
Tonga,2017,,Average dietary energy adequacy
Tuvalu,2017,,Average dietary energy adequacy
Vanuatu,2017,121.0,Average dietary energy adequacy
American Samoa,2018,,Average dietary energy adequacy
Cook Islands,2018,,Average dietary energy adequacy
Fiji,2018,119.0,Average dietary energy adequacy
French Polynesia,2018,120.0,Average dietary energy adequacy
Kiribati,2018,139.0,Average dietary energy adequacy
Marshall Islands,2018,,Average dietary energy adequacy
Micronesia (Federated States of),2018,,Average dietary energy adequacy
Nauru,2018,,Average dietary energy adequacy
New Caledonia,2018,123.0,Average dietary energy adequacy
Niue,2018,,Average dietary energy adequacy
Palau,2018,,Average dietary energy adequacy
Papua New Guinea,2018,102.0,Average dietary energy adequacy
Samoa,2018,131.0,Average dietary energy adequacy
Solomon Islands,2018,111.0,Average dietary energy adequacy
Tokelau,2018,,Average dietary energy adequacy
Tonga,2018,,Average dietary energy adequacy
Tuvalu,2018,,Average dietary energy adequacy
Vanuatu,2018,121.0,Average dietary energy adequacy
American Samoa,2019,,Average dietary energy adequacy
Cook Islands,2019,,Average dietary energy adequacy
Fiji,2019,121.0,Average dietary energy adequacy
French Polynesia,2019,120.0,Average dietary energy adequacy
Kiribati,2019,138.0,Average dietary energy adequacy
Marshall Islands,2019,,Average dietary energy adequacy
Micronesia (Federated States of),2019,,Average dietary energy adequacy
Nauru,2019,,Average dietary energy adequacy
New Caledonia,2019,123.0,Average dietary energy adequacy
Niue,2019,,Average dietary energy adequacy
Palau,2019,,Average dietary energy adequacy
Papua New Guinea,2019,102.0,Average dietary energy adequacy
Samoa,2019,131.0,Average dietary energy adequacy
Solomon Islands,2019,111.0,Average dietary energy adequacy
Tokelau,2019,,Average dietary energy adequacy
Tonga,2019,,Average dietary energy adequacy
Tuvalu,2019,,Average dietary energy adequacy
Vanuatu,2019,121.0,Average dietary energy adequacy
American Samoa,2020,,Average dietary energy adequacy
Cook Islands,2020,,Average dietary energy adequacy
Fiji,2020,121.0,Average dietary energy adequacy
French Polynesia,2020,120.0,Average dietary energy adequacy
Kiribati,2020,138.0,Average dietary energy adequacy
Marshall Islands,2020,,Average dietary energy adequacy
Micronesia (Federated States of),2020,,Average dietary energy adequacy
Nauru,2020,,Average dietary energy adequacy
New Caledonia,2020,122.0,Average dietary energy adequacy
Niue,2020,,Average dietary energy adequacy
Palau,2020,,Average dietary energy adequacy
Papua New Guinea,2020,102.0,Average dietary energy adequacy
Samoa,2020,131.0,Average dietary energy adequacy
Solomon Islands,2020,111.0,Average dietary energy adequacy
Tokelau,2020,,Average dietary energy adequacy
Tonga,2020,,Average dietary energy adequacy
Tuvalu,2020,,Average dietary energy adequacy
Vanuatu,2020,122.0,Average dietary energy adequacy
American Samoa,2001,,Average protein supply
Cook Islands,2001,,Average protein supply
Fiji,2001,73.3,Average protein supply
French Polynesia,2001,94.7,Average protein supply
Kiribati,2001,70.3,Average protein supply
Marshall Islands,2001,,Average protein supply
Micronesia (Federated States of),2001,,Average protein supply
Nauru,2001,,Average protein supply
New Caledonia,2001,80.0,Average protein supply
Niue,2001,,Average protein supply
Palau,2001,,Average protein supply
Papua New Guinea,2001,,Average protein supply
Samoa,2001,76.3,Average protein supply
Solomon Islands,2001,51.0,Average protein supply
Tokelau,2001,,Average protein supply
Tonga,2001,,Average protein supply
Tuvalu,2001,,Average protein supply
Vanuatu,2001,62.3,Average protein supply
American Samoa,2002,,Average protein supply
Cook Islands,2002,,Average protein supply
Fiji,2002,74.3,Average protein supply
French Polynesia,2002,96.3,Average protein supply
Kiribati,2002,71.0,Average protein supply
Marshall Islands,2002,,Average protein supply
Micronesia (Federated States of),2002,,Average protein supply
Nauru,2002,,Average protein supply
New Caledonia,2002,81.7,Average protein supply
Niue,2002,,Average protein supply
Palau,2002,,Average protein supply
Papua New Guinea,2002,,Average protein supply
Samoa,2002,77.3,Average protein supply
Solomon Islands,2002,51.0,Average protein supply
Tokelau,2002,,Average protein supply
Tonga,2002,,Average protein supply
Tuvalu,2002,,Average protein supply
Vanuatu,2002,62.3,Average protein supply
American Samoa,2003,,Average protein supply
Cook Islands,2003,,Average protein supply
Fiji,2003,75.0,Average protein supply
French Polynesia,2003,97.7,Average protein supply
Kiribati,2003,70.7,Average protein supply
Marshall Islands,2003,,Average protein supply
Micronesia (Federated States of),2003,,Average protein supply
Nauru,2003,,Average protein supply
New Caledonia,2003,81.3,Average protein supply
Niue,2003,,Average protein supply
Palau,2003,,Average protein supply
Papua New Guinea,2003,,Average protein supply
Samoa,2003,76.7,Average protein supply
Solomon Islands,2003,52.3,Average protein supply
Tokelau,2003,,Average protein supply
Tonga,2003,,Average protein supply
Tuvalu,2003,,Average protein supply
Vanuatu,2003,63.0,Average protein supply
American Samoa,2004,,Average protein supply
Cook Islands,2004,,Average protein supply
Fiji,2004,75.7,Average protein supply
French Polynesia,2004,98.0,Average protein supply
Kiribati,2004,72.4,Average protein supply
Marshall Islands,2004,,Average protein supply
Micronesia (Federated States of),2004,,Average protein supply
Nauru,2004,,Average protein supply
New Caledonia,2004,81.3,Average protein supply
Niue,2004,,Average protein supply
Palau,2004,,Average protein supply
Papua New Guinea,2004,,Average protein supply
Samoa,2004,77.0,Average protein supply
Solomon Islands,2004,52.7,Average protein supply
Tokelau,2004,,Average protein supply
Tonga,2004,,Average protein supply
Tuvalu,2004,,Average protein supply
Vanuatu,2004,63.7,Average protein supply
American Samoa,2005,,Average protein supply
Cook Islands,2005,,Average protein supply
Fiji,2005,76.3,Average protein supply
French Polynesia,2005,97.7,Average protein supply
Kiribati,2005,73.0,Average protein supply
Marshall Islands,2005,,Average protein supply
Micronesia (Federated States of),2005,,Average protein supply
Nauru,2005,,Average protein supply
New Caledonia,2005,81.0,Average protein supply
Niue,2005,,Average protein supply
Palau,2005,,Average protein supply
Papua New Guinea,2005,,Average protein supply
Samoa,2005,76.0,Average protein supply
Solomon Islands,2005,53.3,Average protein supply
Tokelau,2005,,Average protein supply
Tonga,2005,,Average protein supply
Tuvalu,2005,,Average protein supply
Vanuatu,2005,64.3,Average protein supply
American Samoa,2006,,Average protein supply
Cook Islands,2006,,Average protein supply
Fiji,2006,75.3,Average protein supply
French Polynesia,2006,98.3,Average protein supply
Kiribati,2006,73.0,Average protein supply
Marshall Islands,2006,,Average protein supply
Micronesia (Federated States of),2006,,Average protein supply
Nauru,2006,,Average protein supply
New Caledonia,2006,81.7,Average protein supply
Niue,2006,,Average protein supply
Palau,2006,,Average protein supply
Papua New Guinea,2006,,Average protein supply
Samoa,2006,76.7,Average protein supply
Solomon Islands,2006,53.7,Average protein supply
Tokelau,2006,,Average protein supply
Tonga,2006,,Average protein supply
Tuvalu,2006,,Average protein supply
Vanuatu,2006,65.7,Average protein supply
American Samoa,2007,,Average protein supply
Cook Islands,2007,,Average protein supply
Fiji,2007,75.0,Average protein supply
French Polynesia,2007,98.7,Average protein supply
Kiribati,2007,71.0,Average protein supply
Marshall Islands,2007,,Average protein supply
Micronesia (Federated States of),2007,,Average protein supply
Nauru,2007,,Average protein supply
New Caledonia,2007,81.3,Average protein supply
