Country,Year,Value,Indicator,Color,Baseline,UpDown
Guam,2007,100.0,Access to Electricity,green,100.0,Up
Kiribati,2007,67.61,Access to Electricity,red,100.0,Up
Marshall Islands,2007,72.3,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2007,58.88,Access to Electricity,red,100.0,Up
Nauru,2007,99.8,Access to Electricity,red,100.0,Up
New Caledonia,2007,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2007,100.0,Access to Electricity,green,100.0,Up
Palau,2007,98.51,Access to Electricity,red,100.0,Up
Papua New Guinea,2007,23.64,Access to Electricity,red,100.0,Up
Samoa,2007,92.87,Access to Electricity,red,100.0,Up
Solomon Islands,2007,12.9,Access to Electricity,red,100.0,Up
Tonga,2007,90.51,Access to Electricity,red,100.0,Up
Tuvalu,2007,96.7,Access to Electricity,red,100.0,Up
Vanuatu,2007,33.62,Access to Electricity,red,100.0,Up
Fiji,2008,86.16,Access to Electricity,red,100.0,Up
French Polynesia,2008,100.0,Access to Electricity,green,100.0,Up
Guam,2008,100.0,Access to Electricity,green,100.0,Up
Kiribati,2008,69.4,Access to Electricity,red,100.0,Up
Marshall Islands,2008,80.29,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2008,60.65,Access to Electricity,red,100.0,Up
Nauru,2008,99.19,Access to Electricity,red,100.0,Up
New Caledonia,2008,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2008,100.0,Access to Electricity,green,100.0,Up
Palau,2008,98.57,Access to Electricity,red,100.0,Up
Papua New Guinea,2008,25.94,Access to Electricity,red,100.0,Up
Samoa,2008,98.1,Access to Electricity,red,100.0,Up
Solomon Islands,2008,28.1,Access to Electricity,red,100.0,Up
Tonga,2008,91.22,Access to Electricity,red,100.0,Up
Tuvalu,2008,96.19,Access to Electricity,red,100.0,Up
Vanuatu,2008,36.47,Access to Electricity,red,100.0,Up
Fiji,2009,87.13,Access to Electricity,red,100.0,Up
French Polynesia,2009,100.0,Access to Electricity,green,100.0,Up
Guam,2009,100.0,Access to Electricity,green,100.0,Up
Kiribati,2009,64.19,Access to Electricity,red,100.0,Up
Marshall Islands,2009,81.78,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2009,62.43,Access to Electricity,red,100.0,Up
Nauru,2009,99.17,Access to Electricity,red,100.0,Up
New Caledonia,2009,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2009,100.0,Access to Electricity,green,100.0,Up
Palau,2009,98.63,Access to Electricity,red,100.0,Up
Papua New Guinea,2009,17.2,Access to Electricity,red,100.0,Up
Samoa,2009,97.9,Access to Electricity,red,100.0,Up
Solomon Islands,2009,21.2,Access to Electricity,red,100.0,Up
Tonga,2009,91.94,Access to Electricity,red,100.0,Up
Tuvalu,2009,96.41,Access to Electricity,red,100.0,Up
Vanuatu,2009,33.29,Access to Electricity,red,100.0,Up
Fiji,2010,89.25,Access to Electricity,red,100.0,Up
French Polynesia,2010,100.0,Access to Electricity,green,100.0,Up
Guam,2010,100.0,Access to Electricity,green,100.0,Up
Kiribati,2010,63.17,Access to Electricity,red,100.0,Up
Marshall Islands,2010,89.23,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2010,64.53,Access to Electricity,red,100.0,Up
Nauru,2010,99.17,Access to Electricity,red,100.0,Up
New Caledonia,2010,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2010,100.0,Access to Electricity,green,100.0,Up
Palau,2010,98.71,Access to Electricity,red,100.0,Up
Papua New Guinea,2010,19.5,Access to Electricity,red,100.0,Up
Samoa,2010,96.36,Access to Electricity,red,100.0,Up
Solomon Islands,2010,34.77,Access to Electricity,red,100.0,Up
Tonga,2010,92.68,Access to Electricity,red,100.0,Up
Tuvalu,2010,96.63,Access to Electricity,red,100.0,Up
Vanuatu,2010,44.1,Access to Electricity,red,100.0,Up
Fiji,2011,90.15,Access to Electricity,red,100.0,Up
French Polynesia,2011,100.0,Access to Electricity,green,100.0,Up
Guam,2011,100.0,Access to Electricity,green,100.0,Up
Kiribati,2011,74.84,Access to Electricity,red,100.0,Up
Marshall Islands,2011,89.92,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2011,66.59,Access to Electricity,red,100.0,Up
Nauru,2011,99.0,Access to Electricity,red,100.0,Up
New Caledonia,2011,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2011,100.0,Access to Electricity,green,100.0,Up
Palau,2011,98.81,Access to Electricity,red,100.0,Up
Papua New Guinea,2011,32.92,Access to Electricity,red,100.0,Up
Samoa,2011,96.67,Access to Electricity,red,100.0,Up
Solomon Islands,2011,38.68,Access to Electricity,red,100.0,Up
Tonga,2011,92.18,Access to Electricity,red,100.0,Up
Tuvalu,2011,96.87,Access to Electricity,red,100.0,Up
Vanuatu,2011,41.94,Access to Electricity,red,100.0,Up
Fiji,2012,91.07,Access to Electricity,red,100.0,Up
French Polynesia,2012,100.0,Access to Electricity,green,100.0,Up
Guam,2012,100.0,Access to Electricity,green,100.0,Up
Kiribati,2012,76.69,Access to Electricity,red,100.0,Up
Marshall Islands,2012,90.56,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2012,68.43,Access to Electricity,red,100.0,Up
Nauru,2012,99.22,Access to Electricity,red,100.0,Up
New Caledonia,2012,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2012,100.0,Access to Electricity,green,100.0,Up
Palau,2012,97.63,Access to Electricity,red,100.0,Up
Papua New Guinea,2012,35.28,Access to Electricity,red,100.0,Up
Samoa,2012,96.83,Access to Electricity,red,100.0,Up
Solomon Islands,2012,42.57,Access to Electricity,red,100.0,Up
Tonga,2012,92.8,Access to Electricity,red,100.0,Up
Tuvalu,2012,97.67,Access to Electricity,red,100.0,Up
Vanuatu,2012,43.79,Access to Electricity,red,100.0,Up
Fiji,2013,91.75,Access to Electricity,red,100.0,Up
French Polynesia,2013,100.0,Access to Electricity,green,100.0,Up
Guam,2013,100.0,Access to Electricity,green,100.0,Up
Kiribati,2013,78.93,Access to Electricity,red,100.0,Up
Marshall Islands,2013,91.2,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2013,70.25,Access to Electricity,red,100.0,Up
Nauru,2013,99.27,Access to Electricity,red,100.0,Up
New Caledonia,2013,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2013,100.0,Access to Electricity,green,100.0,Up
Palau,2013,99.05,Access to Electricity,red,100.0,Up
Papua New Guinea,2013,37.65,Access to Electricity,red,100.0,Up
Samoa,2013,97.42,Access to Electricity,red,100.0,Up
Solomon Islands,2013,44.7,Access to Electricity,red,100.0,Up
Tonga,2013,94.98,Access to Electricity,red,100.0,Up
Tuvalu,2013,97.41,Access to Electricity,red,100.0,Up
Vanuatu,2013,31.7,Access to Electricity,red,100.0,Up
Fiji,2014,93.79,Access to Electricity,red,100.0,Up
French Polynesia,2014,100.0,Access to Electricity,green,100.0,Up
Guam,2014,100.0,Access to Electricity,green,100.0,Up
Kiribati,2014,83.45,Access to Electricity,red,100.0,Up
Marshall Islands,2014,91.82,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2014,72.05,Access to Electricity,red,100.0,Up
Nauru,2014,99.34,Access to Electricity,red,100.0,Up
New Caledonia,2014,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2014,100.0,Access to Electricity,green,100.0,Up
Palau,2014,99.81,Access to Electricity,red,100.0,Up
Papua New Guinea,2014,40.05,Access to Electricity,red,100.0,Up
Samoa,2014,97.9,Access to Electricity,red,100.0,Up
Solomon Islands,2014,50.31,Access to Electricity,red,100.0,Up
Tonga,2014,95.79,Access to Electricity,red,100.0,Up
Tuvalu,2014,97.7,Access to Electricity,red,100.0,Up
Vanuatu,2014,49.06,Access to Electricity,red,100.0,Up
Fiji,2015,95.17,Access to Electricity,red,100.0,Up
French Polynesia,2015,100.0,Access to Electricity,green,100.0,Up
Guam,2015,100.0,Access to Electricity,green,100.0,Up
Kiribati,2015,90.56,Access to Electricity,red,100.0,Up
Marshall Islands,2015,92.53,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2015,73.94,Access to Electricity,red,100.0,Up
Nauru,2015,99.0,Access to Electricity,red,100.0,Up
New Caledonia,2015,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2015,100.0,Access to Electricity,green,100.0,Up
Palau,2015,99.37,Access to Electricity,red,100.0,Up
Papua New Guinea,2015,42.88,Access to Electricity,red,100.0,Up
Samoa,2015,99.07,Access to Electricity,red,100.0,Up
Solomon Islands,2015,55.1,Access to Electricity,red,100.0,Up
Tonga,2015,100.0,Access to Electricity,green,100.0,Up
Tuvalu,2015,98.01,Access to Electricity,red,100.0,Up
Vanuatu,2015,52.21,Access to Electricity,red,100.0,Up
Fiji,2016,96.56,Access to Electricity,red,100.0,Up
French Polynesia,2016,100.0,Access to Electricity,green,100.0,Up
Guam,2016,100.0,Access to Electricity,green,100.0,Up
Kiribati,2016,92.8,Access to Electricity,red,100.0,Up
Marshall Islands,2016,93.37,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2016,75.96,Access to Electricity,red,100.0,Up
Nauru,2016,99.71,Access to Electricity,red,100.0,Up
New Caledonia,2016,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2016,100.0,Access to Electricity,green,100.0,Up
Palau,2016,100.0,Access to Electricity,green,100.0,Up
Papua New Guinea,2016,49.4,Access to Electricity,red,100.0,Up
Samoa,2016,99.62,Access to Electricity,red,100.0,Up
Solomon Islands,2016,58.33,Access to Electricity,red,100.0,Up
Tonga,2016,97.02,Access to Electricity,red,100.0,Up
Tuvalu,2016,97.3,Access to Electricity,red,100.0,Up
Vanuatu,2016,57.82,Access to Electricity,red,100.0,Up
Fiji,2017,96.0,Access to Electricity,red,100.0,Up
French Polynesia,2017,100.0,Access to Electricity,green,100.0,Up
Guam,2017,100.0,Access to Electricity,green,100.0,Up
Kiribati,2017,86.18,Access to Electricity,red,100.0,Up
Marshall Islands,2017,94.3,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2017,77.94,Access to Electricity,red,100.0,Up
Nauru,2017,99.87,Access to Electricity,red,100.0,Up
New Caledonia,2017,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2017,100.0,Access to Electricity,green,100.0,Up
Palau,2017,100.0,Access to Electricity,green,100.0,Up
Papua New Guinea,2017,54.4,Access to Electricity,red,100.0,Up
Samoa,2017,96.8,Access to Electricity,red,100.0,Up
Solomon Islands,2017,62.9,Access to Electricity,red,100.0,Up
Tonga,2017,98.36,Access to Electricity,red,100.0,Up
Tuvalu,2017,98.85,Access to Electricity,red,100.0,Up
Vanuatu,2017,62.8,Access to Electricity,red,100.0,Up
Fiji,2018,99.37,Access to Electricity,red,100.0,Up
French Polynesia,2018,100.0,Access to Electricity,green,100.0,Up
Guam,2018,100.0,Access to Electricity,green,100.0,Up
Kiribati,2018,88.1,Access to Electricity,red,100.0,Up
Marshall Islands,2018,95.92,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2018,79.7,Access to Electricity,red,100.0,Up
Nauru,2018,99.93,Access to Electricity,red,100.0,Up
New Caledonia,2018,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2018,100.0,Access to Electricity,green,100.0,Up
Palau,2018,100.0,Access to Electricity,green,100.0,Up
Papua New Guinea,2018,55.73,Access to Electricity,red,100.0,Up
Samoa,2018,99.99,Access to Electricity,red,100.0,Up
Solomon Islands,2018,66.18,Access to Electricity,red,100.0,Up
Tonga,2018,99.13,Access to Electricity,red,100.0,Up
Tuvalu,2018,99.07,Access to Electricity,red,100.0,Up
Vanuatu,2018,61.75,Access to Electricity,red,100.0,Up
Fiji,2019,99.72,Access to Electricity,red,100.0,Up
French Polynesia,2019,100.0,Access to Electricity,green,100.0,Up
Guam,2019,100.0,Access to Electricity,green,100.0,Up
Kiribati,2019,90.03,Access to Electricity,red,100.0,Up
Marshall Islands,2019,97.54,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2019,81.28,Access to Electricity,red,100.0,Up
Nauru,2019,100.0,Access to Electricity,green,100.0,Up
New Caledonia,2019,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2019,100.0,Access to Electricity,green,100.0,Up
Palau,2019,100.0,Access to Electricity,green,100.0,Up
Papua New Guinea,2019,59.66,Access to Electricity,red,100.0,Up
Samoa,2019,99.2,Access to Electricity,red,100.0,Up
Solomon Islands,2019,69.81,Access to Electricity,red,100.0,Up
Tonga,2019,98.4,Access to Electricity,red,100.0,Up
Tuvalu,2019,99.7,Access to Electricity,red,100.0,Up
Vanuatu,2019,64.59,Access to Electricity,red,100.0,Up
Fiji,2020,100.0,Access to Electricity,green,100.0,Up
French Polynesia,2020,100.0,Access to Electricity,green,100.0,Up
Guam,2020,100.0,Access to Electricity,green,100.0,Up
Kiribati,2020,91.96,Access to Electricity,red,100.0,Up
Marshall Islands,2020,99.16,Access to Electricity,red,100.0,Up
Micronesia (Federated States of),2020,82.93,Access to Electricity,red,100.0,Up
Nauru,2020,100.0,Access to Electricity,green,100.0,Up
New Caledonia,2020,100.0,Access to Electricity,green,100.0,Up
Northern Mariana Islands,2020,100.0,Access to Electricity,green,100.0,Up
Palau,2020,100.0,Access to Electricity,green,100.0,Up
Papua New Guinea,2020,60.4,Access to Electricity,red,100.0,Up
Samoa,2020,100.0,Access to Electricity,green,100.0,Up
Solomon Islands,2020,73.35,Access to Electricity,red,100.0,Up
Tonga,2020,100.0,Access to Electricity,green,100.0,Up
Tuvalu,2020,99.69,Access to Electricity,red,100.0,Up
Vanuatu,2020,67.33,Access to Electricity,red,100.0,Up
American Samoa,2022,-0.39,Accessibility Trend,red,0.0,Up
Cook Islands,2022,-0.28,Accessibility Trend,red,0.0,Up
Fiji,2022,-0.31,Accessibility Trend,red,0.0,Up
French Polynesia,2022,-0.15,Accessibility Trend,red,0.0,Up
Guam,2022,-0.35,Accessibility Trend,red,0.0,Up
Kiribati,2022,-0.23,Accessibility Trend,red,0.0,Up
Marshall Islands,2022,-0.47,Accessibility Trend,red,0.0,Up
Micronesia (Federated States of),2022,-0.44,Accessibility Trend,red,0.0,Up
Nauru,2022,-0.2,Accessibility Trend,red,0.0,Up
New Caledonia,2022,-0.15,Accessibility Trend,red,0.0,Up
Niue,2022,-0.33,Accessibility Trend,red,0.0,Up
Northern Mariana Islands,2022,0.03,Accessibility Trend,green,0.0,Up
Palau,2022,-0.31,Accessibility Trend,red,0.0,Up
Papua New Guinea,2022,-0.01,Accessibility Trend,red,0.0,Up
Samoa,2022,-0.4,Accessibility Trend,red,0.0,Up
Solomon Islands,2022,-0.73,Accessibility Trend,red,0.0,Up
Tokelau,2022,0.64,Accessibility Trend,green,0.0,Up
Tonga,2022,-0.3,Accessibility Trend,red,0.0,Up
Tuvalu,2022,0.01,Accessibility Trend,green,0.0,Up
Vanuatu,2022,-0.01,Accessibility Trend,red,0.0,Up
Wallis and Futuna,2022,-0.26,Accessibility Trend,red,0.0,Up
Cook Islands,1961,326.19,Agricultural Production Index,green,100.0,Up
Fiji,1961,78.01,Agricultural Production Index,red,100.0,Up
French Polynesia,1961,102.03,Agricultural Production Index,green,100.0,Up
Kiribati,1961,39.44,Agricultural Production Index,red,100.0,Up
Marshall Islands,1961,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1961,,Agricultural Production Index,gray,100.0,Up
Nauru,1961,37.81,Agricultural Production Index,red,100.0,Up
New Caledonia,1961,86.96,Agricultural Production Index,red,100.0,Up
Niue,1961,46.38,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1961,28.69,Agricultural Production Index,red,100.0,Up
Samoa,1961,76.31,Agricultural Production Index,red,100.0,Up
Solomon Islands,1961,35.22,Agricultural Production Index,red,100.0,Up
Tokelau,1961,38.4,Agricultural Production Index,red,100.0,Up
Tonga,1961,145.0,Agricultural Production Index,green,100.0,Up
Tuvalu,1961,73.77,Agricultural Production Index,red,100.0,Up
Vanuatu,1961,52.95,Agricultural Production Index,red,100.0,Up
Cook Islands,1962,320.21,Agricultural Production Index,green,100.0,Up
Fiji,1962,92.5,Agricultural Production Index,red,100.0,Up
French Polynesia,1962,115.86,Agricultural Production Index,green,100.0,Up
Kiribati,1962,36.59,Agricultural Production Index,red,100.0,Up
Marshall Islands,1962,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1962,,Agricultural Production Index,gray,100.0,Up
Nauru,1962,37.91,Agricultural Production Index,red,100.0,Up
New Caledonia,1962,87.12,Agricultural Production Index,red,100.0,Up
Niue,1962,51.72,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1962,29.79,Agricultural Production Index,red,100.0,Up
Samoa,1962,83.62,Agricultural Production Index,red,100.0,Up
Solomon Islands,1962,35.67,Agricultural Production Index,red,100.0,Up
Tokelau,1962,49.25,Agricultural Production Index,red,100.0,Up
Tonga,1962,133.84,Agricultural Production Index,green,100.0,Up
Tuvalu,1962,74.1,Agricultural Production Index,red,100.0,Up
Vanuatu,1962,53.01,Agricultural Production Index,red,100.0,Up
Cook Islands,1963,343.31,Agricultural Production Index,green,100.0,Up
Fiji,1963,105.38,Agricultural Production Index,green,100.0,Up
French Polynesia,1963,111.88,Agricultural Production Index,green,100.0,Up
Kiribati,1963,33.43,Agricultural Production Index,red,100.0,Up
Marshall Islands,1963,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1963,,Agricultural Production Index,gray,100.0,Up
Nauru,1963,38.02,Agricultural Production Index,red,100.0,Up
New Caledonia,1963,89.2,Agricultural Production Index,red,100.0,Up
Niue,1963,63.66,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1963,30.53,Agricultural Production Index,red,100.0,Up
Samoa,1963,85.89,Agricultural Production Index,red,100.0,Up
Solomon Islands,1963,36.95,Agricultural Production Index,red,100.0,Up
Tokelau,1963,25.85,Agricultural Production Index,red,100.0,Up
Tonga,1963,141.89,Agricultural Production Index,green,100.0,Up
Tuvalu,1963,74.44,Agricultural Production Index,red,100.0,Up
Vanuatu,1963,58.71,Agricultural Production Index,red,100.0,Up
Cook Islands,1964,349.79,Agricultural Production Index,green,100.0,Up
Fiji,1964,106.47,Agricultural Production Index,green,100.0,Up
French Polynesia,1964,109.48,Agricultural Production Index,green,100.0,Up
Kiribati,1964,35.96,Agricultural Production Index,red,100.0,Up
Marshall Islands,1964,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1964,,Agricultural Production Index,gray,100.0,Up
Nauru,1964,39.05,Agricultural Production Index,red,100.0,Up
New Caledonia,1964,93.5,Agricultural Production Index,red,100.0,Up
Niue,1964,74.92,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1964,31.55,Agricultural Production Index,red,100.0,Up
Samoa,1964,89.84,Agricultural Production Index,red,100.0,Up
Solomon Islands,1964,38.02,Agricultural Production Index,red,100.0,Up
Tokelau,1964,62.5,Agricultural Production Index,red,100.0,Up
Tonga,1964,139.92,Agricultural Production Index,green,100.0,Up
Tuvalu,1964,79.85,Agricultural Production Index,red,100.0,Up
Vanuatu,1964,61.13,Agricultural Production Index,red,100.0,Up
Cook Islands,1965,374.74,Agricultural Production Index,green,100.0,Up
Fiji,1965,97.81,Agricultural Production Index,red,100.0,Up
French Polynesia,1965,98.94,Agricultural Production Index,red,100.0,Up
Kiribati,1965,46.48,Agricultural Production Index,red,100.0,Up
Marshall Islands,1965,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1965,,Agricultural Production Index,gray,100.0,Up
Nauru,1965,43.84,Agricultural Production Index,red,100.0,Up
New Caledonia,1965,94.44,Agricultural Production Index,red,100.0,Up
Niue,1965,67.03,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1965,32.23,Agricultural Production Index,red,100.0,Up
Samoa,1965,79.22,Agricultural Production Index,red,100.0,Up
Solomon Islands,1965,38.41,Agricultural Production Index,red,100.0,Up
Tokelau,1965,57.15,Agricultural Production Index,red,100.0,Up
Tonga,1965,144.14,Agricultural Production Index,green,100.0,Up
Tuvalu,1965,79.97,Agricultural Production Index,red,100.0,Up
Vanuatu,1965,52.82,Agricultural Production Index,red,100.0,Up
Cook Islands,1966,382.56,Agricultural Production Index,green,100.0,Up
Fiji,1966,95.9,Agricultural Production Index,red,100.0,Up
French Polynesia,1966,99.64,Agricultural Production Index,red,100.0,Up
Kiribati,1966,45.14,Agricultural Production Index,red,100.0,Up
Marshall Islands,1966,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1966,,Agricultural Production Index,gray,100.0,Up
Nauru,1966,43.95,Agricultural Production Index,red,100.0,Up
New Caledonia,1966,92.08,Agricultural Production Index,red,100.0,Up
Niue,1966,65.73,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1966,33.6,Agricultural Production Index,red,100.0,Up
Samoa,1966,74.41,Agricultural Production Index,red,100.0,Up
Solomon Islands,1966,37.97,Agricultural Production Index,red,100.0,Up
Tokelau,1966,46.21,Agricultural Production Index,red,100.0,Up
Tonga,1966,159.7,Agricultural Production Index,green,100.0,Up
Tuvalu,1966,80.08,Agricultural Production Index,red,100.0,Up
Vanuatu,1966,59.39,Agricultural Production Index,red,100.0,Up
Cook Islands,1967,365.46,Agricultural Production Index,green,100.0,Up
Fiji,1967,94.88,Agricultural Production Index,red,100.0,Up
French Polynesia,1967,93.59,Agricultural Production Index,red,100.0,Up
Kiribati,1967,51.23,Agricultural Production Index,red,100.0,Up
Marshall Islands,1967,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1967,,Agricultural Production Index,gray,100.0,Up
Nauru,1967,44.73,Agricultural Production Index,red,100.0,Up
New Caledonia,1967,86.39,Agricultural Production Index,red,100.0,Up
Niue,1967,65.22,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1967,34.44,Agricultural Production Index,red,100.0,Up
Samoa,1967,70.17,Agricultural Production Index,red,100.0,Up
Solomon Islands,1967,38.84,Agricultural Production Index,red,100.0,Up
Tokelau,1967,41.74,Agricultural Production Index,red,100.0,Up
Tonga,1967,165.31,Agricultural Production Index,green,100.0,Up
Tuvalu,1967,72.7,Agricultural Production Index,red,100.0,Up
Vanuatu,1967,67.71,Agricultural Production Index,red,100.0,Up
Cook Islands,1968,384.9,Agricultural Production Index,green,100.0,Up
Fiji,1968,113.61,Agricultural Production Index,green,100.0,Up
French Polynesia,1968,90.51,Agricultural Production Index,red,100.0,Up
Kiribati,1968,38.56,Agricultural Production Index,red,100.0,Up
Marshall Islands,1968,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1968,,Agricultural Production Index,gray,100.0,Up
Nauru,1968,44.95,Agricultural Production Index,red,100.0,Up
New Caledonia,1968,87.78,Agricultural Production Index,red,100.0,Up
Niue,1968,68.7,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1968,35.33,Agricultural Production Index,red,100.0,Up
Samoa,1968,79.54,Agricultural Production Index,red,100.0,Up
Solomon Islands,1968,37.1,Agricultural Production Index,red,100.0,Up
Tokelau,1968,44.85,Agricultural Production Index,red,100.0,Up
Tonga,1968,153.29,Agricultural Production Index,green,100.0,Up
Tuvalu,1968,67.97,Agricultural Production Index,red,100.0,Up
Vanuatu,1968,61.26,Agricultural Production Index,red,100.0,Up
Cook Islands,1969,414.47,Agricultural Production Index,green,100.0,Up
Fiji,1969,108.08,Agricultural Production Index,green,100.0,Up
French Polynesia,1969,116.32,Agricultural Production Index,green,100.0,Up
Kiribati,1969,39.31,Agricultural Production Index,red,100.0,Up
Marshall Islands,1969,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1969,,Agricultural Production Index,gray,100.0,Up
Nauru,1969,48.12,Agricultural Production Index,red,100.0,Up
New Caledonia,1969,85.75,Agricultural Production Index,red,100.0,Up
Niue,1969,68.41,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1969,36.79,Agricultural Production Index,red,100.0,Up
Samoa,1969,86.78,Agricultural Production Index,red,100.0,Up
Solomon Islands,1969,40.75,Agricultural Production Index,red,100.0,Up
Tokelau,1969,44.88,Agricultural Production Index,red,100.0,Up
Tonga,1969,154.84,Agricultural Production Index,green,100.0,Up
Tuvalu,1969,61.97,Agricultural Production Index,red,100.0,Up
Vanuatu,1969,64.36,Agricultural Production Index,red,100.0,Up
Cook Islands,1970,417.73,Agricultural Production Index,green,100.0,Up
Fiji,1970,115.74,Agricultural Production Index,green,100.0,Up
French Polynesia,1970,111.26,Agricultural Production Index,green,100.0,Up
Kiribati,1970,41.37,Agricultural Production Index,red,100.0,Up
Marshall Islands,1970,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1970,,Agricultural Production Index,gray,100.0,Up
Nauru,1970,49.18,Agricultural Production Index,red,100.0,Up
New Caledonia,1970,80.16,Agricultural Production Index,red,100.0,Up
Niue,1970,85.29,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1970,38.05,Agricultural Production Index,red,100.0,Up
Samoa,1970,78.64,Agricultural Production Index,red,100.0,Up
Solomon Islands,1970,44.43,Agricultural Production Index,red,100.0,Up
Tokelau,1970,45.86,Agricultural Production Index,red,100.0,Up
Tonga,1970,139.35,Agricultural Production Index,green,100.0,Up
Tuvalu,1970,56.84,Agricultural Production Index,red,100.0,Up
Vanuatu,1970,61.03,Agricultural Production Index,red,100.0,Up
Cook Islands,1971,434.19,Agricultural Production Index,green,100.0,Up
Fiji,1971,107.64,Agricultural Production Index,green,100.0,Up
French Polynesia,1971,104.21,Agricultural Production Index,green,100.0,Up
Kiribati,1971,47.14,Agricultural Production Index,red,100.0,Up
Marshall Islands,1971,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1971,,Agricultural Production Index,gray,100.0,Up
Nauru,1971,50.24,Agricultural Production Index,red,100.0,Up
New Caledonia,1971,86.55,Agricultural Production Index,red,100.0,Up
Niue,1971,88.49,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1971,38.9,Agricultural Production Index,red,100.0,Up
Samoa,1971,92.05,Agricultural Production Index,red,100.0,Up
Solomon Islands,1971,45.61,Agricultural Production Index,red,100.0,Up
Tokelau,1971,46.84,Agricultural Production Index,red,100.0,Up
Tonga,1971,143.92,Agricultural Production Index,green,100.0,Up
Tuvalu,1971,75.06,Agricultural Production Index,red,100.0,Up
Vanuatu,1971,66.15,Agricultural Production Index,red,100.0,Up
Cook Islands,1972,409.64,Agricultural Production Index,green,100.0,Up
Fiji,1972,97.07,Agricultural Production Index,red,100.0,Up
French Polynesia,1972,96.17,Agricultural Production Index,red,100.0,Up
Kiribati,1972,36.3,Agricultural Production Index,red,100.0,Up
Marshall Islands,1972,,Agricultural Production Index,gray,100.0,Up
Micronesia (Federated States of),1972,,Agricultural Production Index,gray,100.0,Up
Nauru,1972,50.67,Agricultural Production Index,red,100.0,Up
New Caledonia,1972,90.94,Agricultural Production Index,red,100.0,Up
Niue,1972,79.46,Agricultural Production Index,red,100.0,Up
Papua New Guinea,1972,40.12,Agricultural Production Index,red,100.0,Up
Samoa,1972,87.32,Agricultural Production Index,red,100.0,Up
Solomon Islands,1972,44.65,Agricultural Production Index,red,100.0,Up
Tokelau,1972,44.16,Agricultural Production Index,red,100.0,Up
Tonga,1972,156.52,Agricultural Production Index,green,100.0,Up
Tuvalu,1972,40.3,Agricultural Production Index,red,100.0,Up
Vanuatu,1972,51.4,Agricultural Production Index,red,100.0,Up
Cook Islands,1973,512.36,Agricultural Production Index,green,100.0,Up
Fiji,1973,100.92,Agricultural Production Index,green,100.0,Up
French Polynesia,1973,81.35,Agricultural Production Index,red,100.0,Up
Kiribati,1973,46.84,Agricultural Production Index,red,100.0,Up
Marshall Islands,1973,,Agricultural Production Index,gray,100.0,Up
