Year,Income Group,Indicator,Avg_Income
2014,Upper middle income,Per Capita GDP,49.5
2014,Upper middle income,Political Stability Risk,51.7
2014,Upper middle income,Population Growth Rate,84.4
2014,Upper middle income,Poverty Population,89.9
2014,Upper middle income,Protein Quality,71.9
2014,Upper middle income,Social Capital,61.5
2014,Upper middle income,Soil Organic Content,32.0
2014,Upper middle income,Supply Chain Infrastructure,47.7
2014,Upper middle income,Sustainable Agriculture,47.8
2014,Upper middle income,Telecommunications,74.3
2015,High income,Access to Agricultural Resources,49.2
2015,High income,Access to Diversified Financial Services,77.0
2015,High income,Access to Financial Services,95.9
2015,High income,Adoptation of Innovative Technologies,63.1
2015,High income,Agricultural GDP,96.3
2015,High income,Agricultural Production Volatility,68.2
2015,High income,Agricultural R&D,42.6
2015,High income,Agricultural Trade,78.2
2015,High income,Agricultural Water Quality,87.8
2015,High income,Agricultural Water Quantity,39.9
2015,High income,Agricultural Women Empowerment,16.2
2015,High income,Armed Conflict,90.5
2015,High income,Biodiversity and Habitat,57.3
2015,High income,Community Organizations,89.2
2015,High income,Corruption,67.6
2015,High income,Crop Storage Facilities,67.6
2015,High income,Dependency on Chronic Food Aid,97.3
2015,High income,Disaster Risk Management,43.6
2015,High income,Early Warning Measures,70.3
2015,High income,Ecosystem Services,36.9
2015,High income,Financial Capital,81.8
2015,High income,Food Dietary Diversity,61.2
2015,High income,Food Loss,87.9
2015,High income,Food Price Volatility,92.3
2015,High income,Food Safety,96.7
2015,High income,Food Safety Net Programs,99.3
2015,High income,Food Security Policy Commitment,15.1
2015,High income,Food Supply Sufficiency,84.4
2015,High income,Food Systems Resilience Score,69.8
2015,High income,Forest Change,75.5
2015,High income,Gender Equality,83.0
2015,High income,Green House Emission Per Capita,26.3
2015,High income,Human Capital,79.6
2015,High income,Income Inequality,72.8
2015,High income,Irrigation Infrastructure,25.7
2015,High income,KOFGI Globalization Index,74.1
2015,High income,Labor Force Participation Rate,62.0
2015,High income,Land Degradation,81.5
2015,High income,Literacy Rate,96.8
2015,High income,Manufactured Capital,62.4
2015,High income,Micronutrient Availability,69.9
2015,High income,Natural Capital,50.0
2015,High income,Natural Hazard Exposure,68.7
2015,High income,Nutritional Standards,81.4
2015,High income,Per Capita GDP,73.2
2015,High income,Political Stability Risk,71.6
2015,High income,Population Growth Rate,84.5
2015,High income,Poverty Population,98.7
2015,High income,Protein Quality,88.0
2015,High income,Social Capital,71.1
2015,High income,Soil Organic Content,36.0
2015,High income,Supply Chain Infrastructure,72.0
2015,High income,Sustainable Agriculture,70.3
2015,High income,Telecommunications,80.2
2015,Low income,Access to Agricultural Resources,50.7
2015,Low income,Access to Diversified Financial Services,2.8
2015,Low income,Access to Financial Services,22.2
2015,Low income,Adoptation of Innovative Technologies,20.4
2015,Low income,Agricultural GDP,52.5
2015,Low income,Agricultural Production Volatility,54.2
2015,Low income,Agricultural R&D,16.6
2015,Low income,Agricultural Trade,63.2
2015,Low income,Agricultural Water Quality,4.2
2015,Low income,Agricultural Water Quantity,41.7
2015,Low income,Agricultural Women Empowerment,19.4
2015,Low income,Armed Conflict,52.8
2015,Low income,Biodiversity and Habitat,47.4
2015,Low income,Community Organizations,58.3
2015,Low income,Corruption,16.7
2015,Low income,Crop Storage Facilities,44.4
2015,Low income,Dependency on Chronic Food Aid,77.8
2015,Low income,Disaster Risk Management,29.4
2015,Low income,Early Warning Measures,47.2
2015,Low income,Ecosystem Services,32.5
2015,Low income,Financial Capital,36.0
2015,Low income,Food Dietary Diversity,45.7
2015,Low income,Food Loss,64.7
2015,Low income,Food Price Volatility,71.4
2015,Low income,Food Safety,30.5
2015,Low income,Food Safety Net Programs,25.2
2015,Low income,Food Security Policy Commitment,53.5
2015,Low income,Food Supply Sufficiency,55.6
2015,Low income,Food Systems Resilience Score,44.6
2015,Low income,Forest Change,66.4
2015,Low income,Gender Equality,40.0
2015,Low income,Green House Emission Per Capita,82.7
2015,Low income,Human Capital,55.9
2015,Low income,Income Inequality,32.5
2015,Low income,Irrigation Infrastructure,3.0
2015,Low income,KOFGI Globalization Index,45.2
2015,Low income,Labor Force Participation Rate,66.9
2015,Low income,Land Degradation,72.3
2015,Low income,Literacy Rate,48.6
2015,Low income,Manufactured Capital,32.7
2015,Low income,Micronutrient Availability,73.4
2015,Low income,Natural Capital,50.0
2015,Low income,Natural Hazard Exposure,65.7
2015,Low income,Nutritional Standards,53.2
2015,Low income,Per Capita GDP,12.6
2015,Low income,Political Stability Risk,37.2
2015,Low income,Population Growth Rate,56.3
2015,Low income,Poverty Population,27.0
2015,Low income,Protein Quality,41.7
2015,Low income,Social Capital,43.4
2015,Low income,Soil Organic Content,19.0
2015,Low income,Supply Chain Infrastructure,26.0
2015,Low income,Sustainable Agriculture,36.1
2015,Low income,Telecommunications,21.8
2015,Lower middle income,Access to Agricultural Resources,57.3
2015,Lower middle income,Access to Diversified Financial Services,25.8
2015,Lower middle income,Access to Financial Services,46.8
2015,Lower middle income,Adoptation of Innovative Technologies,24.7
2015,Lower middle income,Agricultural GDP,73.6
2015,Lower middle income,Agricultural Production Volatility,70.0
2015,Lower middle income,Agricultural R&D,18.4
2015,Lower middle income,Agricultural Trade,64.3
2015,Lower middle income,Agricultural Water Quality,11.7
2015,Lower middle income,Agricultural Water Quantity,40.6
2015,Lower middle income,Agricultural Women Empowerment,21.0
2015,Lower middle income,Armed Conflict,66.1
2015,Lower middle income,Biodiversity and Habitat,41.1
2015,Lower middle income,Community Organizations,82.3
2015,Lower middle income,Corruption,16.9
2015,Lower middle income,Crop Storage Facilities,64.5
2015,Lower middle income,Dependency on Chronic Food Aid,74.2
2015,Lower middle income,Disaster Risk Management,26.5
2015,Lower middle income,Early Warning Measures,24.2
2015,Lower middle income,Ecosystem Services,35.8
2015,Lower middle income,Financial Capital,53.2
2015,Lower middle income,Food Dietary Diversity,44.4
2015,Lower middle income,Food Loss,67.3
2015,Lower middle income,Food Price Volatility,69.6
2015,Lower middle income,Food Safety,68.8
2015,Lower middle income,Food Safety Net Programs,59.2
2015,Lower middle income,Food Security Policy Commitment,43.6
2015,Lower middle income,Food Supply Sufficiency,61.4
2015,Lower middle income,Food Systems Resilience Score,52.0
2015,Lower middle income,Forest Change,65.0
2015,Lower middle income,Gender Equality,51.4
2015,Lower middle income,Green House Emission Per Capita,70.4
2015,Lower middle income,Human Capital,62.4
2015,Lower middle income,Income Inequality,45.3
2015,Lower middle income,Irrigation Infrastructure,27.3
2015,Lower middle income,KOFGI Globalization Index,53.3
2015,Lower middle income,Labor Force Participation Rate,60.1
2015,Lower middle income,Land Degradation,58.4
2015,Lower middle income,Literacy Rate,87.4
2015,Lower middle income,Manufactured Capital,42.4
2015,Lower middle income,Micronutrient Availability,61.7
2015,Lower middle income,Natural Capital,48.0
2015,Lower middle income,Natural Hazard Exposure,67.5
2015,Lower middle income,Nutritional Standards,60.6
2015,Lower middle income,Per Capita GDP,30.9
2015,Lower middle income,Political Stability Risk,46.5
2015,Lower middle income,Population Growth Rate,69.1
2015,Lower middle income,Poverty Population,59.9
2015,Lower middle income,Protein Quality,52.8
2015,Lower middle income,Social Capital,52.2
2015,Lower middle income,Soil Organic Content,25.0
2015,Lower middle income,Supply Chain Infrastructure,33.6
2015,Lower middle income,Sustainable Agriculture,37.1
2015,Lower middle income,Telecommunications,52.5
2015,Upper middle income,Access to Agricultural Resources,48.1
2015,Upper middle income,Access to Diversified Financial Services,56.5
2015,Upper middle income,Access to Financial Services,82.6
2015,Upper middle income,Adoptation of Innovative Technologies,44.9
2015,Upper middle income,Agricultural GDP,86.7
2015,Upper middle income,Agricultural Production Volatility,66.7
2015,Upper middle income,Agricultural R&D,37.2
2015,Upper middle income,Agricultural Trade,72.4
2015,Upper middle income,Agricultural Water Quality,39.1
2015,Upper middle income,Agricultural Water Quantity,39.1
2015,Upper middle income,Agricultural Women Empowerment,26.1
2015,Upper middle income,Armed Conflict,78.3
2015,Upper middle income,Biodiversity and Habitat,46.1
2015,Upper middle income,Community Organizations,91.3
2015,Upper middle income,Corruption,31.5
2015,Upper middle income,Crop Storage Facilities,65.2
2015,Upper middle income,Dependency on Chronic Food Aid,65.2
2015,Upper middle income,Disaster Risk Management,42.4
2015,Upper middle income,Early Warning Measures,23.9
2015,Upper middle income,Ecosystem Services,33.8
2015,Upper middle income,Financial Capital,66.5
2015,Upper middle income,Food Dietary Diversity,52.4
2015,Upper middle income,Food Loss,76.6
2015,Upper middle income,Food Price Volatility,71.6
2015,Upper middle income,Food Safety,91.5
2015,Upper middle income,Food Safety Net Programs,97.0
2015,Upper middle income,Food Security Policy Commitment,39.6
2015,Upper middle income,Food Supply Sufficiency,60.7
2015,Upper middle income,Food Systems Resilience Score,60.5
2015,Upper middle income,Forest Change,70.5
2015,Upper middle income,Gender Equality,64.5
2015,Upper middle income,Green House Emission Per Capita,44.4
2015,Upper middle income,Human Capital,73.0
2015,Upper middle income,Income Inequality,54.1
2015,Upper middle income,Irrigation Infrastructure,16.2
2015,Upper middle income,KOFGI Globalization Index,61.8
2015,Upper middle income,Labor Force Participation Rate,58.7
2015,Upper middle income,Land Degradation,61.9
2015,Upper middle income,Literacy Rate,94.8
2015,Upper middle income,Manufactured Capital,52.6
2015,Upper middle income,Micronutrient Availability,67.5
2015,Upper middle income,Natural Capital,45.4
2015,Upper middle income,Natural Hazard Exposure,68.4
2015,Upper middle income,Nutritional Standards,66.7
2015,Upper middle income,Per Capita GDP,48.2
2015,Upper middle income,Political Stability Risk,51.7
2015,Upper middle income,Population Growth Rate,82.5
2015,Upper middle income,Poverty Population,90.7
2015,Upper middle income,Protein Quality,71.5
2015,Upper middle income,Social Capital,61.2
2015,Upper middle income,Soil Organic Content,32.0
2015,Upper middle income,Supply Chain Infrastructure,48.6
2015,Upper middle income,Sustainable Agriculture,47.8
2015,Upper middle income,Telecommunications,78.4
2016,High income,Access to Agricultural Resources,53.0
2016,High income,Access to Diversified Financial Services,77.0
2016,High income,Access to Financial Services,97.3
2016,High income,Adoptation of Innovative Technologies,65.8
2016,High income,Agricultural GDP,96.1
2016,High income,Agricultural Production Volatility,65.4
2016,High income,Agricultural R&D,42.8
2016,High income,Agricultural Trade,79.1
2016,High income,Agricultural Water Quality,87.8
2016,High income,Agricultural Water Quantity,39.9
2016,High income,Agricultural Women Empowerment,16.2
2016,High income,Armed Conflict,91.9
2016,High income,Biodiversity and Habitat,58.1
2016,High income,Community Organizations,89.2
2016,High income,Corruption,68.9
2016,High income,Crop Storage Facilities,70.3
2016,High income,Dependency on Chronic Food Aid,97.3
2016,High income,Disaster Risk Management,54.1
2016,High income,Early Warning Measures,70.3
2016,High income,Ecosystem Services,38.6
2016,High income,Financial Capital,82.2
2016,High income,Food Dietary Diversity,61.3
2016,High income,Food Loss,87.7
2016,High income,Food Price Volatility,92.8
2016,High income,Food Safety,97.3
2016,High income,Food Safety Net Programs,98.6
2016,High income,Food Security Policy Commitment,19.3
2016,High income,Food Supply Sufficiency,84.6
2016,High income,Food Systems Resilience Score,69.9
2016,High income,Forest Change,75.4
2016,High income,Gender Equality,83.3
2016,High income,Green House Emission Per Capita,26.9
2016,High income,Human Capital,78.7
2016,High income,Income Inequality,72.6
2016,High income,Irrigation Infrastructure,25.9
2016,High income,KOFGI Globalization Index,74.4
2016,High income,Labor Force Participation Rate,62.1
2016,High income,Land Degradation,81.5
2016,High income,Literacy Rate,96.4
2016,High income,Manufactured Capital,63.7
2016,High income,Micronutrient Availability,69.9
2016,High income,Natural Capital,50.6
2016,High income,Natural Hazard Exposure,68.7
2016,High income,Nutritional Standards,81.1
2016,High income,Per Capita GDP,74.1
2016,High income,Political Stability Risk,71.1
2016,High income,Population Growth Rate,81.5
2016,High income,Poverty Population,98.7
2016,High income,Protein Quality,88.0
2016,High income,Social Capital,71.7
2016,High income,Soil Organic Content,36.0
2016,High income,Supply Chain Infrastructure,72.3
2016,High income,Sustainable Agriculture,73.0
2016,High income,Telecommunications,80.9
2016,Low income,Access to Agricultural Resources,48.3
2016,Low income,Access to Diversified Financial Services,2.8
2016,Low income,Access to Financial Services,22.2
2016,Low income,Adoptation of Innovative Technologies,22.2
2016,Low income,Agricultural GDP,52.9
2016,Low income,Agricultural Production Volatility,58.9
2016,Low income,Agricultural R&D,18.7
2016,Low income,Agricultural Trade,61.6
2016,Low income,Agricultural Water Quality,4.2
2016,Low income,Agricultural Water Quantity,41.7
2016,Low income,Agricultural Women Empowerment,22.2
2016,Low income,Armed Conflict,55.6
2016,Low income,Biodiversity and Habitat,47.5
2016,Low income,Community Organizations,58.3
2016,Low income,Corruption,19.4
2016,Low income,Crop Storage Facilities,44.4
2016,Low income,Dependency on Chronic Food Aid,55.6
2016,Low income,Disaster Risk Management,32.6
2016,Low income,Early Warning Measures,47.2
2016,Low income,Ecosystem Services,30.8
2016,Low income,Financial Capital,37.0
2016,Low income,Food Dietary Diversity,44.6
2016,Low income,Food Loss,65.1
2016,Low income,Food Price Volatility,59.8
2016,Low income,Food Safety,32.1
2016,Low income,Food Safety Net Programs,26.7
2016,Low income,Food Security Policy Commitment,41.8
2016,Low income,Food Supply Sufficiency,44.9
2016,Low income,Food Systems Resilience Score,44.3
2016,Low income,Forest Change,67.2
2016,Low income,Gender Equality,40.1
2016,Low income,Green House Emission Per Capita,82.6
2016,Low income,Human Capital,53.7
2016,Low income,Income Inequality,33.3
2016,Low income,Irrigation Infrastructure,3.0
2016,Low income,KOFGI Globalization Index,45.4
2016,Low income,Labor Force Participation Rate,66.8
2016,Low income,Land Degradation,72.3
2016,Low income,Literacy Rate,49.6
2016,Low income,Manufactured Capital,34.1
2016,Low income,Micronutrient Availability,73.4
2016,Low income,Natural Capital,49.8
2016,Low income,Natural Hazard Exposure,65.7
2016,Low income,Nutritional Standards,52.3
2016,Low income,Per Capita GDP,14.2
2016,Low income,Political Stability Risk,37.8
2016,Low income,Population Growth Rate,47.4
2016,Low income,Poverty Population,27.2
2016,Low income,Protein Quality,41.7
2016,Low income,Social Capital,41.0
2016,Low income,Soil Organic Content,19.0
2016,Low income,Supply Chain Infrastructure,26.0
2016,Low income,Sustainable Agriculture,44.4
2016,Low income,Telecommunications,26.6
2016,Lower middle income,Access to Agricultural Resources,54.3
2016,Lower middle income,Access to Diversified Financial Services,27.4
2016,Lower middle income,Access to Financial Services,46.8
2016,Lower middle income,Adoptation of Innovative Technologies,26.9
2016,Lower middle income,Agricultural GDP,73.4
2016,Lower middle income,Agricultural Production Volatility,72.3
2016,Lower middle income,Agricultural R&D,18.1
2016,Lower middle income,Agricultural Trade,64.2
2016,Lower middle income,Agricultural Water Quality,11.7
2016,Lower middle income,Agricultural Water Quantity,40.6
2016,Lower middle income,Agricultural Women Empowerment,24.2
2016,Lower middle income,Armed Conflict,64.5
2016,Lower middle income,Biodiversity and Habitat,41.3
2016,Lower middle income,Community Organizations,82.3
2016,Lower middle income,Corruption,18.5
2016,Lower middle income,Crop Storage Facilities,74.2
2016,Lower middle income,Dependency on Chronic Food Aid,67.7
2016,Lower middle income,Disaster Risk Management,30.9
2016,Lower middle income,Early Warning Measures,24.2
2016,Lower middle income,Ecosystem Services,34.1
2016,Lower middle income,Financial Capital,54.0
2016,Lower middle income,Food Dietary Diversity,44.8
2016,Lower middle income,Food Loss,66.4
2016,Lower middle income,Food Price Volatility,70.1
2016,Lower middle income,Food Safety,70.1
2016,Lower middle income,Food Safety Net Programs,60.1
2016,Lower middle income,Food Security Policy Commitment,40.2
2016,Lower middle income,Food Supply Sufficiency,59.1
2016,Lower middle income,Food Systems Resilience Score,52.0
2016,Lower middle income,Forest Change,64.9
2016,Lower middle income,Gender Equality,51.9
2016,Lower middle income,Green House Emission Per Capita,69.8
2016,Lower middle income,Human Capital,60.6
2016,Lower middle income,Income Inequality,46.0
2016,Lower middle income,Irrigation Infrastructure,27.5
2016,Lower middle income,KOFGI Globalization Index,53.5
2016,Lower middle income,Labor Force Participation Rate,60.1
2016,Lower middle income,Land Degradation,58.4
2016,Lower middle income,Literacy Rate,85.7
2016,Lower middle income,Manufactured Capital,44.0
2016,Lower middle income,Micronutrient Availability,61.7
2016,Lower middle income,Natural Capital,47.7
2016,Lower middle income,Natural Hazard Exposure,67.5
2016,Lower middle income,Nutritional Standards,62.8
2016,Lower middle income,Per Capita GDP,32.9
2016,Lower middle income,Political Stability Risk,46.6
2016,Lower middle income,Population Growth Rate,63.5
2016,Lower middle income,Poverty Population,60.8
2016,Lower middle income,Protein Quality,52.8
2016,Lower middle income,Social Capital,51.9
2016,Lower middle income,Soil Organic Content,25.0
2016,Lower middle income,Supply Chain Infrastructure,33.9
2016,Lower middle income,Sustainable Agriculture,40.3
2016,Lower middle income,Telecommunications,55.6
2016,Upper middle income,Access to Agricultural Resources,55.7
2016,Upper middle income,Access to Diversified Financial Services,56.5
2016,Upper middle income,Access to Financial Services,82.6
2016,Upper middle income,Adoptation of Innovative Technologies,46.4
2016,Upper middle income,Agricultural GDP,86.7
2016,Upper middle income,Agricultural Production Volatility,66.2
2016,Upper middle income,Agricultural R&D,38.6
2016,Upper middle income,Agricultural Trade,72.5
2016,Upper middle income,Agricultural Water Quality,39.1
2016,Upper middle income,Agricultural Water Quantity,39.1
2016,Upper middle income,Agricultural Women Empowerment,26.1
2016,Upper middle income,Armed Conflict,77.2
2016,Upper middle income,Biodiversity and Habitat,46.6
2016,Upper middle income,Community Organizations,93.5
2016,Upper middle income,Corruption,33.7
2016,Upper middle income,Crop Storage Facilities,73.9
2016,Upper middle income,Dependency on Chronic Food Aid,69.6
2016,Upper middle income,Disaster Risk Management,51.6
2016,Upper middle income,Early Warning Measures,23.9
2016,Upper middle income,Ecosystem Services,32.2
2016,Upper middle income,Financial Capital,66.5
2016,Upper middle income,Food Dietary Diversity,52.5
2016,Upper middle income,Food Loss,76.1
2016,Upper middle income,Food Price Volatility,70.2
2016,Upper middle income,Food Safety,92.5
2016,Upper middle income,Food Safety Net Programs,97.0
2016,Upper middle income,Food Security Policy Commitment,41.6
2016,Upper middle income,Food Supply Sufficiency,63.3
2016,Upper middle income,Food Systems Resilience Score,60.9
2016,Upper middle income,Forest Change,70.7
2016,Upper middle income,Gender Equality,64.6
2016,Upper middle income,Green House Emission Per Capita,44.3
2016,Upper middle income,Human Capital,73.0
2016,Upper middle income,Income Inequality,54.4
2016,Upper middle income,Irrigation Infrastructure,17.0
2016,Upper middle income,KOFGI Globalization Index,62.0
2016,Upper middle income,Labor Force Participation Rate,58.7
2016,Upper middle income,Land Degradation,61.9
2016,Upper middle income,Literacy Rate,94.7
2016,Upper middle income,Manufactured Capital,54.4
2016,Upper middle income,Micronutrient Availability,67.5
2016,Upper middle income,Natural Capital,45.2
2016,Upper middle income,Natural Hazard Exposure,68.4
2016,Upper middle income,Nutritional Standards,71.2
2016,Upper middle income,Per Capita GDP,49.4
2016,Upper middle income,Political Stability Risk,54.1
2016,Upper middle income,Population Growth Rate,79.0
2016,Upper middle income,Poverty Population,91.1
2016,Upper middle income,Protein Quality,71.5
2016,Upper middle income,Social Capital,62.9
2016,Upper middle income,Soil Organic Content,32.0
2016,Upper middle income,Supply Chain Infrastructure,49.3
2016,Upper middle income,Sustainable Agriculture,60.9
2016,Upper middle income,Telecommunications,77.6
2017,High income,Access to Agricultural Resources,54.6
2017,High income,Access to Diversified Financial Services,79.7
2017,High income,Access to Financial Services,98.6
2017,High income,Adoptation of Innovative Technologies,70.3
2017,High income,Agricultural GDP,96.3
2017,High income,Agricultural Production Volatility,64.6
2017,High income,Agricultural R&D,42.0
2017,High income,Agricultural Trade,79.0
2017,High income,Agricultural Water Quality,87.8
2017,High income,Agricultural Water Quantity,39.9
2017,High income,Agricultural Women Empowerment,16.2
2017,High income,Armed Conflict,92.6
2017,High income,Biodiversity and Habitat,59.1
2017,High income,Community Organizations,89.2
2017,High income,Corruption,67.6
2017,High income,Crop Storage Facilities,78.4
2017,High income,Dependency on Chronic Food Aid,100.0
2017,High income,Disaster Risk Management,55.5
2017,High income,Early Warning Measures,70.3
2017,High income,Ecosystem Services,37.4
2017,High income,Financial Capital,82.8
2017,High income,Food Dietary Diversity,61.2
2017,High income,Food Loss,86.0
2017,High income,Food Price Volatility,94.6
2017,High income,Food Safety,97.2
2017,High income,Food Safety Net Programs,99.3
2017,High income,Food Security Policy Commitment,23.4
2017,High income,Food Supply Sufficiency,86.1
2017,High income,Food Systems Resilience Score,70.2
2017,High income,Forest Change,75.3
2017,High income,Gender Equality,83.8
2017,High income,Green House Emission Per Capita,26.6
2017,High income,Human Capital,79.2
2017,High income,Income Inequality,72.6
2017,High income,Irrigation Infrastructure,25.9
2017,High income,KOFGI Globalization Index,74.6
2017,High income,Labor Force Participation Rate,62.2
2017,High income,Land Degradation,81.5
2017,High income,Literacy Rate,95.6
2017,High income,Manufactured Capital,64.6
2017,High income,Micronutrient Availability,69.9
2017,High income,Natural Capital,50.4
2017,High income,Natural Hazard Exposure,68.7
2017,High income,Nutritional Standards,84.7
2017,High income,Per Capita GDP,74.9
2017,High income,Political Stability Risk,70.9
2017,High income,Population Growth Rate,82.2
2017,High income,Poverty Population,98.8
2017,High income,Protein Quality,88.0
2017,High income,Social Capital,72.8
2017,High income,Soil Organic Content,36.0
2017,High income,Supply Chain Infrastructure,73.5
2017,High income,Sustainable Agriculture,74.3
2017,High income,Telecommunications,80.9
2017,Low income,Access to Agricultural Resources,44.0
2017,Low income,Access to Diversified Financial Services,2.8
2017,Low income,Access to Financial Services,22.2
2017,Low income,Adoptation of Innovative Technologies,22.2
2017,Low income,Agricultural GDP,54.2
2017,Low income,Agricultural Production Volatility,59.7
2017,Low income,Agricultural R&D,20.2
2017,Low income,Agricultural Trade,62.4
2017,Low income,Agricultural Water Quality,4.2
2017,Low income,Agricultural Water Quantity,41.7
2017,Low income,Agricultural Women Empowerment,22.2
2017,Low income,Armed Conflict,58.3
2017,Low income,Biodiversity and Habitat,48.3
2017,Low income,Community Organizations,58.3
2017,Low income,Corruption,16.7
2017,Low income,Crop Storage Facilities,61.1
2017,Low income,Dependency on Chronic Food Aid,50.0
2017,Low income,Disaster Risk Management,30.2
2017,Low income,Early Warning Measures,47.2
2017,Low income,Ecosystem Services,33.3
2017,Low income,Financial Capital,37.0
2017,Low income,Food Dietary Diversity,44.6
2017,Low income,Food Loss,67.0
2017,Low income,Food Price Volatility,53.6
2017,Low income,Food Safety,32.2
2017,Low income,Food Safety Net Programs,28.2
2017,Low income,Food Security Policy Commitment,44.7
2017,Low income,Food Supply Sufficiency,41.8
2017,Low income,Food Systems Resilience Score,44.6
2017,Low income,Forest Change,67.4
2017,Low income,Gender Equality,40.6
2017,Low income,Green House Emission Per Capita,83.2
2017,Low income,Human Capital,53.0
2017,Low income,Income Inequality,32.6
2017,Low income,Irrigation Infrastructure,3.0
2017,Low income,KOFGI Globalization Index,45.8
2017,Low income,Labor Force Participation Rate,66.8
2017,Low income,Land Degradation,72.3
2017,Low income,Literacy Rate,57.3
2017,Low income,Manufactured Capital,35.6
2017,Low income,Micronutrient Availability,73.4
2017,Low income,Natural Capital,50.5
2017,Low income,Natural Hazard Exposure,65.7
2017,Low income,Nutritional Standards,50.8
2017,Low income,Per Capita GDP,15.3
2017,Low income,Political Stability Risk,37.2
2017,Low income,Population Growth Rate,46.6
2017,Low income,Poverty Population,27.9
2017,Low income,Protein Quality,41.7
2017,Low income,Social Capital,40.7
2017,Low income,Soil Organic Content,19.0
2017,Low income,Supply Chain Infrastructure,26.1
2017,Low income,Sustainable Agriculture,41.7
2017,Low income,Telecommunications,30.2
2017,Lower middle income,Access to Agricultural Resources,51.8
2017,Lower middle income,Access to Diversified Financial Services,29.0
2017,Lower middle income,Access to Financial Services,51.6
2017,Lower middle income,Adoptation of Innovative Technologies,28.0
2017,Lower middle income,Agricultural GDP,74.5
2017,Lower middle income,Agricultural Production Volatility,72.8
2017,Lower middle income,Agricultural R&D,19.2
2017,Lower middle income,Agricultural Trade,65.0
2017,Lower middle income,Agricultural Water Quality,11.7
2017,Lower middle income,Agricultural Water Quantity,40.6
2017,Lower middle income,Agricultural Women Empowerment,24.2
2017,Lower middle income,Armed Conflict,66.1
2017,Lower middle income,Biodiversity and Habitat,41.9
2017,Lower middle income,Community Organizations,82.3
2017,Lower middle income,Corruption,17.7
2017,Lower middle income,Crop Storage Facilities,77.4
2017,Lower middle income,Dependency on Chronic Food Aid,61.3
2017,Lower middle income,Disaster Risk Management,31.5
2017,Lower middle income,Early Warning Measures,24.2
2017,Lower middle income,Ecosystem Services,33.5
2017,Lower middle income,Financial Capital,55.0
2017,Lower middle income,Food Dietary Diversity,44.8
2017,Lower middle income,Food Loss,66.6
2017,Lower middle income,Food Price Volatility,69.9
2017,Lower middle income,Food Safety,70.8
2017,Lower middle income,Food Safety Net Programs,60.7
2017,Lower middle income,Food Security Policy Commitment,45.3
2017,Lower middle income,Food Supply Sufficiency,56.7
2017,Lower middle income,Food Systems Resilience Score,52.4
2017,Lower middle income,Forest Change,64.7
2017,Lower middle income,Gender Equality,52.4
2017,Lower middle income,Green House Emission Per Capita,69.7
2017,Lower middle income,Human Capital,60.3
2017,Lower middle income,Income Inequality,46.1
2017,Lower middle income,Irrigation Infrastructure,27.3
2017,Lower middle income,KOFGI Globalization Index,53.9
2017,Lower middle income,Labor Force Participation Rate,60.0
2017,Lower middle income,Land Degradation,58.4
2017,Lower middle income,Literacy Rate,72.5
2017,Lower middle income,Manufactured Capital,44.6
2017,Lower middle income,Micronutrient Availability,61.7
2017,Lower middle income,Natural Capital,47.7
2017,Lower middle income,Natural Hazard Exposure,67.5
2017,Lower middle income,Nutritional Standards,66.2
2017,Lower middle income,Per Capita GDP,33.5
2017,Lower middle income,Political Stability Risk,48.1
2017,Lower middle income,Population Growth Rate,63.5
2017,Lower middle income,Poverty Population,62.1
2017,Lower middle income,Protein Quality,52.8
2017,Lower middle income,Social Capital,52.4
2017,Lower middle income,Soil Organic Content,25.0
2017,Lower middle income,Supply Chain Infrastructure,33.7
2017,Lower middle income,Sustainable Agriculture,40.3
2017,Lower middle income,Telecommunications,57.3
2017,Upper middle income,Access to Agricultural Resources,50.6
2017,Upper middle income,Access to Diversified Financial Services,56.5
2017,Upper middle income,Access to Financial Services,87.0
2017,Upper middle income,Adoptation of Innovative Technologies,58.0
2017,Upper middle income,Agricultural GDP,87.6
2017,Upper middle income,Agricultural Production Volatility,64.7
2017,Upper middle income,Agricultural R&D,39.0
2017,Upper middle income,Agricultural Trade,73.1
2017,Upper middle income,Agricultural Water Quality,39.1
2017,Upper middle income,Agricultural Water Quantity,39.1
2017,Upper middle income,Agricultural Women Empowerment,26.1
2017,Upper middle income,Armed Conflict,78.3
2017,Upper middle income,Biodiversity and Habitat,47.2
2017,Upper middle income,Community Organizations,93.5
2017,Upper middle income,Corruption,33.7
2017,Upper middle income,Crop Storage Facilities,82.6
2017,Upper middle income,Dependency on Chronic Food Aid,60.9
2017,Upper middle income,Disaster Risk Management,55.5
2017,Upper middle income,Early Warning Measures,23.9
2017,Upper middle income,Ecosystem Services,32.1
2017,Upper middle income,Financial Capital,67.4
2017,Upper middle income,Food Dietary Diversity,52.6
2017,Upper middle income,Food Loss,75.6
2017,Upper middle income,Food Price Volatility,70.2
2017,Upper middle income,Food Safety,91.6
2017,Upper middle income,Food Safety Net Programs,97.0
2017,Upper middle income,Food Security Policy Commitment,39.3
2017,Upper middle income,Food Supply Sufficiency,59.3
2017,Upper middle income,Food Systems Resilience Score,61.0
2017,Upper middle income,Forest Change,70.8
2017,Upper middle income,Gender Equality,65.0
2017,Upper middle income,Green House Emission Per Capita,43.9
2017,Upper middle income,Human Capital,71.6
2017,Upper middle income,Income Inequality,54.4
2017,Upper middle income,Irrigation Infrastructure,16.9
2017,Upper middle income,KOFGI Globalization Index,62.3
